rank,holderId,legacyV1Address,etherscanLabel,holderType,isContractAtSnapshot,codeBytesAtSnapshot,v1RawAmount,v1Amount,v2RawAmount,v2Amount,conversionRule,proposedDisposition,dispositionReason,draftThresholdEligible,destinationAddress,addressOverride,addressOverrideProofHash,ownerDecision,ownerDecisionReference,draftBatch,draftIndexInBatch,sourceAllocationId,sourceSafe,status
1,v1-mainnet-0001,0x876146f9e8863ba09a7eff0d8209e708a3fee802,,TOP5_OWNER_CLASSIFICATION_REQUIRED,False,0,883718640903163448882,883718640.903163448882,883718640903163448882000000,883718640.903163448882000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),HOLD_OWNER_DECISION_REQUIRED,Top-five balances represent 98.84% of V1 supply and cannot be treated as ordinary holder payouts without wallet ownership/tokenomics mapping.,False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
2,v1-mainnet-0002,0x6be007b1befd60624a55b901095dc2f4218a6211,,TOP5_OWNER_CLASSIFICATION_REQUIRED,False,0,56753033525215692135,56753033.525215692135,56753033525215692135000000,56753033.525215692135000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),HOLD_OWNER_DECISION_REQUIRED,Top-five balances represent 98.84% of V1 supply and cannot be treated as ordinary holder payouts without wallet ownership/tokenomics mapping.,False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
3,v1-mainnet-0003,0x37c441d73308f0778f73664a6ee1be96c43745ab,,TOP5_OWNER_CLASSIFICATION_REQUIRED,False,0,19948969216406505657,19948969.216406505657,19948969216406505657000000,19948969.216406505657000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),HOLD_OWNER_DECISION_REQUIRED,Top-five balances represent 98.84% of V1 supply and cannot be treated as ordinary holder payouts without wallet ownership/tokenomics mapping.,False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
4,v1-mainnet-0004,0xe32cfba7afd85c04d7c608c98e429cc6a000858a,,TOP5_OWNER_CLASSIFICATION_REQUIRED,False,0,18003608365208677308,18003608.365208677308,18003608365208677308000000,18003608.365208677308000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),HOLD_OWNER_DECISION_REQUIRED,Top-five balances represent 98.84% of V1 supply and cannot be treated as ordinary holder payouts without wallet ownership/tokenomics mapping.,False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
5,v1-mainnet-0005,0x706df7f43f2d552928c72c04f6bd7b056d76b336,,TOP5_OWNER_CLASSIFICATION_REQUIRED,False,0,10000000000000000000,10000000.000000000000,10000000000000000000000000,10000000.000000000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),HOLD_OWNER_DECISION_REQUIRED,Top-five balances represent 98.84% of V1 supply and cannot be treated as ordinary holder payouts without wallet ownership/tokenomics mapping.,False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
6,v1-mainnet-0006,0xd15749a7ae26cbab8f56831e029471d4cc756082,,EOA_CANDIDATE,False,0,5020982682245025491,5020982.682245025491,5020982682245025491000000,5020982.682245025491000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",True,0xd15749a7ae26cbab8f56831e029471d4cc756082,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,1,1,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
7,v1-mainnet-0007,0x83ff1cd3ae8e7a2d55a43815985b11d41540ac65,,EOA_CANDIDATE,False,0,1524956194156863776,1524956.194156863776,1524956194156863776000000,1524956.194156863776000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",True,0x83ff1cd3ae8e7a2d55a43815985b11d41540ac65,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,1,2,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
8,v1-mainnet-0008,0xad711454019916c9c170426c7c8f38bde739de57,,EOA_CANDIDATE,False,0,948059794773655813,948059.794773655813,948059794773655813000000,948059.794773655813000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",True,0xad711454019916c9c170426c7c8f38bde739de57,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,1,3,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
9,v1-mainnet-0009,0xa22d7cb335dfbdd6338be3dafa46284e71effdc2,,EOA_CANDIDATE,False,0,865000044816488073,865000.044816488073,865000044816488073000000,865000.044816488073000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",True,0xa22d7cb335dfbdd6338be3dafa46284e71effdc2,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,1,4,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
10,v1-mainnet-0010,0xfd00644213cc50dab420298ac4a103a11d79d4f1,,EOA_CANDIDATE,False,0,852437731810681454,852437.731810681454,852437731810681454000000,852437.731810681454000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",True,0xfd00644213cc50dab420298ac4a103a11d79d4f1,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,1,5,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
